ID,Name,SearchURL,Player,Date,Year,Month,Day,Club,MarketValue,€ Unit,Avg Year MV
176580,L. Suárez,https://www.google.com/search?q=L.+Su%C3%A1rez+zerozero+valor-de-mercado,ERROR: name 'NoSuchElementException' is not defined,NO_DATA,,NO_DATA,NO_DATA,NO_DATA,,NO_DATA,
194765,A. Griezmann,https://www.google.com/search?q=A.+Griezmann+zerozero+valor-de-mercado,7.Antoine Griezmann,2024-12-23,2024,12,23,Atlético de Madrid,21.0,M,23.25
194765,A. Griezmann,https://www.google.com/search?q=A.+Griezmann+zerozero+valor-de-mercado,7.Antoine Griezmann,2024-06-28,2024,06,28,Atlético de Madrid,24.0,M,23.25
194765,A. Griezmann,https://www.google.com/search?q=A.+Griezmann+zerozero+valor-de-mercado,7.Antoine Griezmann,2024-06-12,2024,06,12,FC Groningen,24.0,M,23.25
194765,A. Griezmann,https://www.google.com/search?q=A.+Griezmann+zerozero+valor-de-mercado,7.Antoine Griezmann,2024-01-08,2024,01,08,Atlético de Madrid,24.0,M,23.25
194765,A. Griezmann,https://www.google.com/search?q=A.+Griezmann+zerozero+valor-de-mercado,7.Antoine Griezmann,2023-12-08,2023,12,08,FC Groningen,24.0,M,24.0
194765,A. Griezmann,https://www.google.com/search?q=A.+Griezmann+zerozero+valor-de-mercado,7.Antoine Griezmann,2023-06-10,2023,06,10,FC Groningen,24.0,M,24.0
194765,A. Griezmann,https://www.google.com/search?q=A.+Griezmann+zerozero+valor-de-mercado,7.Antoine Griezmann,2023-05-22,2023,05,22,Atlético de Madrid,24.0,M,24.0
194765,A. Griezmann,https://www.google.com/search?q=A.+Griezmann+zerozero+valor-de-mercado,7.Antoine Griezmann,2022-11-20,2022,11,20,Atlético de Madrid,26.0,M,31.5
194765,A. Griezmann,https://www.google.com/search?q=A.+Griezmann+zerozero+valor-de-mercado,7.Antoine Griezmann,2022-06-08,2022,06,08,Atlético de Madrid,37.0,M,31.5
